customer_id,customer_first_name,customer_last_name,customer_full_name,customer_email,customer_phone,customer_city,customer_signup_date
C000001,Maryam,Hosseini,Maryam Hosseini,maryam.hosseini1@example.com,0000000000,Rasht,2021-07-17
C000002,Neda,Moradi,Neda Moradi,neda.moradi2@example.com,0000000000,Rasht,2020-07-28
C000003,Maryam,Akbari,Maryam Akbari,maryam.akbari3@example.com,0000000000,Karaj,2022-05-14
C000004,Ali,Ahmadi,Ali Ahmadi,ali.ahmadi4@example.com,0000000000,Shiraz,2021-04-21
C000005,Hana,Salehi,Hana Salehi,hana.salehi5@example.com,0000000000,Tabriz,2021-02-11
C000006,Arman,Akbari,Arman Akbari,arman.akbari6@example.com,0000000000,Shiraz,2022-07-08
C000007,Yasin,Rahimi,Yasin Rahimi,yasin.rahimi7@example.com,0000000000,Tehran,2024-04-03
C000008,Reza,Jafari,Reza Jafari,reza.jafari8@example.com,0000000000,Shiraz,2020-11-14
C000009,Neda,Mohammadi,Neda Mohammadi,neda.mohammadi9@example.com,0000000000,Tehran,2022-02-17
C000010,Sara,Mohammadi,Sara Mohammadi,sara.mohammadi10@example.com,0000000000,Karaj,2021-06-25
C000011,Ali,Rostami,Ali Rostami,ali.rostami11@example.com,0000000000,Tehran,2022-02-14
C000012,Sara,Akbari,Sara Akbari,sara.akbari12@example.com,0000000000,Qom,2023-06-20
C000013,Amir,Salehi,Amir Salehi,amir.salehi13@example.com,0000000000,Rasht,2020-05-22
C000014,Ali,Moradi,Ali Moradi,ali.moradi14@example.com,0000000000,Shiraz,2020-06-12
C000015,Neda,Hosseini,Neda Hosseini,neda.hosseini15@example.com,0000000000,Shiraz,2022-07-17
C000016,Maryam,Mohammadi,Maryam Mohammadi,maryam.mohammadi16@example.com,0000000000,Isfahan,2021-12-28
C000017,Neda,Rahimi,Neda Rahimi,neda.rahimi17@example.com,0000000000,Qom,2023-08-20
C000018,Sara,Salehi,Sara Salehi,sara.salehi18@example.com,0000000000,Tehran,2022-12-29
C000019,Arman,Moradi,Arman Moradi,arman.moradi19@example.com,0000000000,Mashhad,2022-02-16
C000020,Mina,Akbari,Mina Akbari,mina.akbari20@example.com,0000000000,Qom,2021-10-26
C000021,Ali,Moradi,Ali Moradi,ali.moradi21@example.com,0000000000,Tehran,2024-07-06
C000022,Amir,Jafari,Amir Jafari,amir.jafari22@example.com,0000000000,Tehran,2021-03-08
C000023,Yasin,Mohammadi,Yasin Mohammadi,yasin.mohammadi23@example.com,0000000000,Qom,2022-10-19
C000024,Leila,Rostami,Leila Rostami,leila.rostami24@example.com,0000000000,Shiraz,2020-10-12
C000025,Neda,Akbari,Neda Akbari,neda.akbari25@example.com,0000000000,Shiraz,2024-03-09
C000026,Yasin,Jafari,Yasin Jafari,yasin.jafari26@example.com,0000000000,Isfahan,2022-01-11
C000027,Neda,Karimi,Neda Karimi,neda.karimi27@example.com,0000000000,Mashhad,2020-07-05
C000028,Ali,Hosseini,Ali Hosseini,ali.hosseini28@example.com,0000000000,Qom,2020-11-23
C000029,Maryam,Jafari,Maryam Jafari,maryam.jafari29@example.com,0000000000,Tehran,2022-02-27
C000030,Leila,Salehi,Leila Salehi,leila.salehi30@example.com,0000000000,Tabriz,2021-05-29
C000031,Hana,Ahmadi,Hana Ahmadi,hana.ahmadi31@example.com,0000000000,Rasht,2020-08-22
C000032,Maryam,Akbari,Maryam Akbari,maryam.akbari32@example.com,0000000000,Shiraz,2024-04-23
C000033,Maryam,Mohammadi,Maryam Mohammadi,maryam.mohammadi33@example.com,0000000000,Shiraz,2022-06-09
C000034,Reza,Rostami,Reza Rostami,reza.rostami34@example.com,0000000000,Rasht,2024-11-28
C000035,Arman,Rahimi,Arman Rahimi,arman.rahimi35@example.com,0000000000,Tehran,2022-11-05
C000036,Sara,Rahimi,Sara Rahimi,sara.rahimi36@example.com,0000000000,Tabriz,2023-06-01
C000037,Neda,Karimi,Neda Karimi,neda.karimi37@example.com,0000000000,Tehran,2023-01-09
C000038,Hana,Ahmadi,Hana Ahmadi,hana.ahmadi38@example.com,0000000000,Isfahan,2022-09-27
C000039,Ali,Hosseini,Ali Hosseini,ali.hosseini39@example.com,0000000000,Shiraz,2021-05-05
C000040,Ali,Moradi,Ali Moradi,ali.moradi40@example.com,0000000000,Tehran,2020-06-24
C000041,Arman,Rostami,Arman Rostami,arman.rostami41@example.com,0000000000,Tehran,2024-04-06
C000042,Hana,Karimi,Hana Karimi,hana.karimi42@example.com,0000000000,Qom,2022-08-31
C000043,Hana,Karimi,Hana Karimi,hana.karimi43@example.com,0000000000,Tabriz,2024-11-21
C000044,Yasin,Jafari,Yasin Jafari,yasin.jafari44@example.com,0000000000,Tabriz,2024-03-26
C000045,Arman,Moradi,Arman Moradi,arman.moradi45@example.com,0000000000,Shiraz,2022-03-28
C000046,Maryam,Mohammadi,Maryam Mohammadi,maryam.mohammadi46@example.com,0000000000,Tabriz,2022-07-13
C000047,Sara,Moradi,Sara Moradi,sara.moradi47@example.com,0000000000,Tehran,2021-11-23
