sale_id,sale_date,customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_signup_date,product_id,product_name,category_name,unit_cost,unit_price,branch_id,branch_name,branch_city,sales_channel,quantity,discount_percent,payment_method,inventory_snapshot_date,stock_quantity,reorder_level,category_display_name,rejection_reason
S000001237,2024-08-07,C037969,Omid,Mohammadi,omid.mohammadi37969@example.com,09245969127,Shiraz,2024-07-06,P00436,Basic Notebook 436,pets,41.7,75.27,B040,Outlet Branch 40,Tehran,online,0,10,online,2023-05-08,290,75,Pets,invalid quantity
S000002474,2023-08-11,C027935,Mina,Ahmadi,mina.ahmadi27935@example.com,09683474569,Isfahan,2021-02-03,P00311,Pro Sneakers 311,garden,87.8,245.35,B038,East Branch 38,Tehran,mobile,0,25,cash,2025-08-26,176,10,Garden,invalid quantity
S000003203,2023-06-24,C011817,Mina,Karimi,mina.karimi11817@example.com,09903931888,Isfahan,2022-10-08,P00417,Basic Mixer 417,baby,166.29,246.46,B038,East Branch 38,Tehran,mobile,-5,15,cash,2024-09-02,139,20,Baby,invalid quantity
S000003711,2023-03-07,C002384,Maryam,Rostami,maryam.rostami2384@example.com,09172492053,Isfahan,2020-02-06,P00370,Max Puzzle 370,office,394.39,608.3,B008,West Branch 8,Isfahan,store,0,0,card,2023-08-12,318,40,Office,invalid quantity
S000004948,2025-04-09,C030278,Reza,Moradi,reza.moradi30278@example.com,09945321444,Tehran,2024-06-13,P00122,Max Shirt 122,home appliances,171.69,431.29,B016,North Branch 16,Rasht,online,0,25,cash,2023-11-21,170,75,Home Appliances,invalid quantity
S000006185,2025-04-19,C024073,Reza,Rostami,reza.rostami24073@example.com,09661356460,Tehran,2022-11-11,P00252,Smart Coffee 252,automotive,180.03,388.9,B030,Airport Branch 30,Mashhad,mobile,0,25,online,2024-03-01,485,10,Automotive,invalid quantity
S000006406,2023-07-14,C018705,Leila,Jafari,leila.jafari18705@example.com,09483690723,Isfahan,2022-01-19,P00304,Max Headphones 304,beauty,16.34,31.81,B019,Bazaar Branch 19,Shiraz,mobile,-3,25,online,2023-08-28,464,20,Beauty,invalid quantity
S000007422,2025-08-26,C000949,Yasin,Akbari,yasin.akbari949@example.com,09939328588,Isfahan,2020-08-18,P00065,Basic Mixer 65,sports,381.26,805.32,B026,Central Branch 26,Mashhad,partner,0,10,online,2024-02-02,466,20,Sports,invalid quantity
S000008659,2025-07-24,C033132,Omid,Hosseini,omid.hosseini33132@example.com,09155314667,Karaj,2024-07-30,P00160,Nova Coffee 160,furniture,334.31,436.72,B006,North Branch 6,Tehran,online,0,0,cash,2025-02-01,235,40,Furniture,invalid quantity
S000009609,2025-04-25,C014455,Leila,Mohammadi,leila.mohammadi14455@example.com,09933798616,Mashhad,2024-08-20,P00143,Classic Cream 143,books,280.13,530.49,B038,East Branch 38,Tehran,mobile,-4,5,cash,2025-03-15,406,10,Books,invalid quantity
S000009896,2023-10-19,C025093,Neda,Karimi,neda.karimi25093@example.com,09482751375,Tabriz,2024-12-04,P00011,Prime Ball 11,garden,73.98,195.05,B016,North Branch 16,Rasht,online,0,15,online,2025-03-07,238,10,Garden,invalid quantity
S000011133,2024-08-05,C024270,Mina,Salehi,mina.salehi24270@example.com,09212418887,Shiraz,2022-01-27,P00209,Max Coffee 209,grocery,191.87,459.46,B016,North Branch 16,Rasht,online,0,0,online,2025-09-29,467,40,Grocery,invalid quantity
S000012370,2023-01-06,C018562,Arman,Moradi,arman.moradi18562@example.com,09259452887,Isfahan,2020-10-10,P00417,Basic Mixer 417,baby,166.29,246.46,B006,North Branch 6,Tehran,online,0,0,online,2025-05-09,427,50,Baby,invalid quantity
S000012812,2025-10-18,C040798,Omid,Salehi,omid.salehi40798@example.com,09476156181,Tehran,2020-04-21,P00211,Max Cream 211,garden,327.13,381.27,B016,North Branch 16,Rasht,online,-1,0,card,2024-05-12,357,10,Garden,invalid quantity
S000013607,2024-03-03,C013779,Neda,Hosseini,neda.hosseini13779@example.com,09848154437,Mashhad,2020-06-08,P00081,Eco Coffee 81,electronics,267.58,643.87,B005,South Branch 5,Tehran,online,0,10,cash,2025-02-01,208,30,Electronics,invalid quantity
S000014844,2023-04-23,C039153,Maryam,Ahmadi,maryam.ahmadi39153@example.com,09886210919,Qom,2020-11-14,P00088,Pro Mixer 88,shoes,298.11,741.36,B026,Central Branch 26,Mashhad,partner,0,20,cash,2025-10-11,483,30,Shoes,invalid quantity
S000016015,2023-04-19,C019290,Hana,Ahmadi,hana.ahmadi19290@example.com,09288146150,Karaj,2021-12-10,P00166,Nova Notebook 166,toys,222.57,536.63,B017,Express Branch 17,Tehran,online,-1,0,online,2024-10-05,318,20,Toys,invalid quantity
S000016081,2023-10-08,C012680,Leila,Ahmadi,leila.ahmadi12680@example.com,09633119425,Rasht,2022-11-12,P00251,Eco Shirt 251,garden,386.68,910.55,B008,West Branch 8,Isfahan,store,0,15,card,2024-09-27,293,20,Garden,invalid quantity
S000017318,2024-12-28,C024852,Omid,Rahimi,omid.rahimi24852@example.com,09673385576,Isfahan,2024-07-12,P00269,Smart Desk 269,grocery,325.45,721.28,B029,North Branch 29,Tehran,mobile,0,25,card,2024-09-07,202,50,Grocery,invalid quantity
S000018555,2025-02-18,C003934,Yasin,Rostami,yasin.rostami3934@example.com,09405761709,Tehran,2023-04-16,P00267,Eco Notebook 267,clothing,260.43,311.3,B028,Express Branch 28,Isfahan,partner,0,5,card,2023-12-09,475,20,Clothing,invalid quantity
S000019218,2024-02-12,C044636,Yasin,Moradi,yasin.moradi44636@example.com,09168202111,Mashhad,2020-11-16,P00310,Smart Coffee 310,office,201.78,331.87,B011,Central Branch 11,Tehran,partner,-5,0,wallet,2025-11-23,486,30,Office,invalid quantity
S000019792,2025-05-11,C043516,Maryam,Rostami,maryam.rostami43516@example.com,09483108337,Isfahan,2024-10-01,P00034,Basic Coffee 34,jewelry,219.46,377.08,B038,East Branch 38,Tehran,mobile,0,10,online,2025-08-05,25,100,Jewelry,invalid quantity
S000021029,2023-08-27,C048656,Arman,Jafari,arman.jafari48656@example.com,09558179554,Tehran,2022-11-19,P00364,Prime Headphones 364,beauty,132.49,368.18,B026,Central Branch 26,Mashhad,partner,0,25,wallet,2023-09-16,31,75,Beauty,invalid quantity
S000022266,2024-02-07,C018416,Hana,Jafari,hana.jafari18416@example.com,09539157488,Tabriz,2022-11-24,P00052,Smart Coffee 52,automotive,204.8,285.16,B026,Central Branch 26,Mashhad,partner,0,0,cash,2023-03-08,331,10,Automotive,invalid quantity
S000022421,2025-09-02,C049343,Neda,Karimi,neda.karimi49343@example.com,09430211266,Tehran,2023-09-12,P00319,Basic Sneakers 319,gaming,110.8,226.34,B006,North Branch 6,Tehran,online,-2,10,cash,2023-08-06,232,10,Gaming,invalid quantity
S000023503,2024-05-18,C032034,Mina,Ahmadi,mina.ahmadi32034@example.com,09164018860,Rasht,2024-05-27,P00190,Max Coffee 190,office,260.09,530.99,B038,East Branch 38,Tehran,mobile,0,0,wallet,2025-06-19,436,20,Office,invalid quantity
