sale_id,sale_date,customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_signup_date,product_id,product_name,category_name,unit_cost,unit_price,branch_id,branch_name,branch_city,sales_channel,quantity,discount_percent,payment_method,inventory_snapshot_date,stock_quantity,reorder_level,rejection_reason
S000001237,2024-08-07,C037969,Omid,Mohammadi,omid.mohammadi37969@example.com,9245969127.0,Shiraz,2024-07-06,P00436,Basic Notebook 436,Pets,41.7,75.27,B040,Outlet Branch 40,tehran,online,0,10,online,2023-05-08,290,75,invalid_quantity
S000002474,2023-11-08,C027935,Mina,Ahmadi,mina.ahmadi27935@example.com,9683474569.0,Isfahan,2021-02-03,P00311,Pro Sneakers 311,Garden,87.8,245.35,B038,East Branch 38,Tehran,mobile,0,25,cash,2025-08-26,176,10,invalid_quantity
S000002801,2023-02-02,C003702,Sara,Karimi,sara.karimi3702@example.com,9123745996.0,Tabriz,2022-07-07,P00373,Pro Puzzle 373,Health,,520.69,B021,Airport Branch 21,tehran,online,3,0,wallet,2025-08-29,247,10,missing_unit_cost
S000003203,2023-06-24,C011817,Mina,Karimi,mina.karimi11817@example.com,9903931888.0,isfahan,2022-10-08,P00417,Basic Mixer 417,Baby,166.29,246.46,B038,East Branch 38,Tehran,mobile,-5,15,cash,2024-09-02,139,20,invalid_quantity
S000003251,2025-12-28,C012068,Mina,Ahmadi,mina.ahmadi12068@example.com,9869574093.0,Mashhad,2023-11-17,P00052,Smart Coffee 52,Automotive,204.8,,B019,Bazaar Branch 19,Shiraz,mobile,8,5,card,2025-07-08,477,100,missing_unit_price
S000003711,2023-03-07,C002384,Maryam,Rostami,maryam.rostami2384@example.com,9172492053.0,Isfahan,2020-02-06,P00370,Max Puzzle 370,Office,394.39,608.3,B008,West Branch 8,Isfahan,store,0,0,CARD,2023-12-08,318,40,invalid_quantity
S000004547,2025-10-14,C037182,Omid,Akbari,omid.akbari37182@example.com,9534338909.0,Isfahan,2021-10-15,P00468,Basic Headphones 468,Shoes,-365.42,841.75,B018,North Branch 18,Tabriz,partner,1,0,card,2023-09-13,341,75,invalid_unit_cost
S000004948,2025-04-09,C030278,Reza,Moradi,reza.moradi30278@example.com,9945321444.0,TEHRAN,2024-06-13,P00122,Max Shirt 122,Home Appliances,171.69,431.29,B016,North Branch 16,Rasht,online,0,25,cash,2023-11-21,170,75,invalid_quantity
S000005003,2023-08-12,C017500,Yasin,Rostami,yasin.rostami17500@example.com,9329664019.0,Tehran,2021-05-07,P00352,Nova Desk 352,Automotive,256.47,-527.87,B030,Airport Branch 30,Mashhad,mobile,2,15,online,2023-10-11,55,40,invalid_unit_price
S000005602,2023-02-20,C002776,Reza,Hosseini,reza.hosseini2776@example.com,9252189904.0,tehran,2021-07-14,P00345,Pro Notebook 345,Sports,,887.44,B001,Central Branch 1,Rasht,online,5,20,online,2025-08-09,408,30,missing_unit_cost
