sale_id,sale_date,customer_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_signup_date,product_id,product_name,category_name,unit_cost,unit_price,branch_id,branch_name,branch_city,sales_channel,quantity,discount_percent,payment_method,inventory_snapshot_date,stock_quantity,reorder_level
S000000001,05/23/2024,C025954,Hana,Jafari,hana.jafari25954@example.com,9875075333.0,Tehran,2023-09-04,P00363,Plus Ball 363,Books,113.88,239.16,B011,Central Branch 11,TEHRAN,partner,2,15,CARD,2025-10-22,251,100
S000000002,14-09-2025,C048040,Ali,Akbari,ali.akbari48040@example.com,9469377793.0,TEHRAN,2024-03-14,P00357,Classic Shirt 357,Baby,323.67,832.68,B014,Bazaar Branch 14,shiraz,mobile,3,0,wallet,2025-10-23,301,20
S000000003,2024/08/03,C004235,Maryam,Mohammadi,maryam.mohammadi4235@example.com,9815174578.0,Karaj,06/28/2020,P00019,Pro Coffee 19,Gaming,77.76,112.44,B039,Mall Branch 39,Shiraz,online,1,15,Online,2023-02-28,466,20
S000000004,2025-06-17,C015096,Sara,Karimi,sara.karimi15096@example.com,9141855567.0,Mashhad,02/06/2020,P00231,Mini Coffee 231,Garden,38.07,103.26,B009,South Branch 9,isfahan,store,2,25,online,2023-05-21,449,100
S000000005,12/01/2024,C045516,Sara,Rahimi,sara.rahimi45516@example.com,9783118571.0,Karaj,04/28/2021,P00229,Nova Coffee 229,Grocery,310.04,785.58,B029,North Branch 29,TEHRAN,mobile,1,0,wallet,2025-04-03,392,100
S000000006,06-09-2023,C027593,Amir,Rahimi,amir.rahimi27593@example.com,9168795961.0,Rasht,15-09-2023,P00395,Plus Desk 395,Music,293.0,541.44,B040,Outlet Branch 40,tehran,online,4,15,wallet,2025-02-12,14,75
S000000007,2024/09/10,C000807,Omid,Hosseini,omid.hosseini807@example.com,9117920106.0,Karaj,18-05-2020,P00368,Basic Sneakers 368,Shoes,190.32,413.01,B026,Central Branch 26,Mashhad,partner,10,0,wallet,11/18/2023,3,75
S000000008,2024-07-25,C010803,Ali,Rahimi,ali.rahimi10803@example.com,9820556555.0,Tabriz,16-10-2024,P00468,Basic Headphones 468,Shoes,365.42,841.75,B018,North Branch 18,Tabriz,partner,4,10,card,05/12/2023,58,50
S000000009,12/09/2025,C033436,Leila,Mohammadi,leila.mohammadi33436@example.com,9375065502.0,isfahan,2021/03/02,P00343,Max Sneakers 343,Books,63.8,159.21,B032,Central Branch 32,shiraz,partner,6,5,wallet,03/20/2024,165,100
S000000010,26-05-2025,C036578,Arman,Mohammadi,arman.mohammadi36578@example.com,9243006013.0,Tabriz,2021/01/23,P00154,Eco Puzzle 154,Jewelry,130.12,324.57,B014,Bazaar Branch 14,shiraz,mobile,8,0,cash,05/24/2024,50,10
S000000011,2023/03/14,C022280,Arman,Hosseini,arman.hosseini22280@example.com,9162466109.0,Qom,2020/09/03,P00170,Smart Puzzle 170,Office,278.29,603.83,B029,North Branch 29,TEHRAN,mobile,4,25,card,08/03/2023,341,10
S000000012,2025-02-16,C010290,Ali,Hosseini,ali.hosseini10290@example.com,9634240901.0,TEHRAN,2022-06-23,P00059,Mini Notebook 59,Gaming,81.83,175.96,B040,Outlet Branch 40,tehran,online,1,15,card,07/01/2024,362,30
S000000013,12/23/2023,C037262,Neda,Rahimi,neda.rahimi37262@example.com,9831516228.0,tehran,2022-11-13,P00135,Plus Mixer 135,Music,318.36,542.98,B028,Express Branch 28,isfahan,partner,1,20,online,04/06/2025,280,10
S000000014,24-12-2024,C042509,Arman,Moradi,arman.moradi42509@example.com,9680564049.0,Mashhad,2021-12-01,P00388,Basic Headphones 388,Shoes,302.72,816.01,B002,Mall Branch 2,Karaj,partner,1,0,wallet,17-07-2023,251,40
S000000015,2024/11/06,C047345,Amir,Rahimi,amir.rahimi47345@example.com,9564174752.0,tehran,09/24/2023,P00012,Classic Headphones 12,Automotive,167.7,202.09,B023,Bazaar Branch 23,Rasht,mobile,5,20,wallet,31-07-2023,373,75
S000000016,2023-10-06,C010190,Maryam,Karimi,maryam.karimi10190@example.com,9434360204.0,Qom,01/24/2021,P00447,Prime Puzzle 447,Clothing,292.42,402.58,B025,Bazaar Branch 25,Tehran,mobile,1,20,wallet,30-05-2025,9,75
S000000017,07/10/2024,C004639,Yasin,Karimi,yasin.karimi4639@example.com,9886504775.0,tehran,12/06/2022,P00499,Pro Coffee 499,Gaming,373.77,660.87,B037,Bazaar Branch 37,Tehran,online,10,10,wallet,19-07-2025,148,10
